"Custom_Reports_Filename","string","NA","NA","UNINITIALIZED STRING","The name of the file containing custom report configuration parameters. Omitting this parameter or setting it to RunAllCustomReports will load all reporters found that are valid for the given simulation type. The file must be in JSON format.",".. code-block:: json

    {  
        ""Custom_Reports_Filename"": ""custom_reports.json""
    }"
"Cycle_Arrhenius_1","float","0","1.00E+15","4.09E+10","The Arrhenius equation, :math:`a_1^{-a_2/T}`, with T in degrees Kelvin, parameterizes the mosquito feeding cycle rate. This duration is a decreasing function of temperature.  The variable a1 is a temperature-independent scale factor on feeding rate. **Temperature_Dependent_Feeding_Cycle** must be set to ARRHENIUS_DEPENDENCE.",".. code-block:: json

    {
        ""Temperature_Dependent_Feeding_Cycle"": ""ARRHENIUS_DEPENDENCE"",
        ""Vector_Species_Params"": {
            ""arabiensis"": {
                ""Cycle_Arrhenius_1"": 99,
                ""Cycle_Arrhenius_2"": 88
            }
        }
    }"
"Cycle_Arrhenius_2","float","0","1.00E+15","7740","The Arrhenius equation, :math:`a_1^{-a_2/T}`, with T in degrees Kelvin, parameterizes the mosquito feeding cycle rate. This duration is a decreasing function of temperature.  The variable a2 is a temperature-independent scale factor on feeding rate. **Temperature_Dependent_Feeding_Cycle** must be set to ARRHENIUS_DEPENDENCE.",".. code-block:: json

    {
        ""Temperature_Dependent_Feeding_Cycle"": ""ARRHENIUS_DEPENDENCE"",
        ""Vector_Species_Params"": {
            ""arabiensis"": {
                ""Cycle_Arrhenius_1"": 99,
                ""Cycle_Arrhenius_2"": 88
            }
        }
    }"
"Cycle_Arrhenius_Reduction_Factor","float","0","1","1","The scale factor applied to cycle duration (from oviposition to oviposition) to reduce the duration when primary follicles are at stage II rather than I in the case of newly emerged females. **Temperature_Dependent_Feeding_Cycle** must be set to ARRHENIUS_DEPENDENCE.",".. code-block:: json

    {
        ""Temperature_Dependent_Feeding_Cycle"": ""ARRHENIUS_DEPENDENCE"",
        ""Vector_Species_Params"": {
            ""funestus"": {
                ""Cycle_Arrhenius_Reduction_Factor"": 0.44
            }
        }
    }"
"Drought_Egg_Hatch_Delay","float","0","1","0.33","Proportion of regular egg hatching that still occurs when habitat dries up. **Enable_Drought_Egg_Hatch_Delay** must be set to 1.",".. code-block:: json

    { 
        ""Enable_Drought_Egg_Hatch_Delay"": 1,
        ""Drought_Egg_Hatch_Delay"": 0.33
    }"
"Egg_Arrhenius1","float","0","1.00E+10","6.16E+07","The Arrhenius equation, math:`a_1^{-a_2/T}`, with T in degrees Kelvin, parameterizes the daily rate of mosquito egg hatching. This duration is a decreasing function of temperature.  The variable a1 is a temperature-independent scale factor on hatching rate. **Enable_Temperature_Dependent_Egg_Hatching** must be set to 1.",".. code-block:: json

    {
        ""Enable_Temperature_Dependent_Egg_Hatching"": 1,     
        ""Egg_Arrhenius1"": 61599956,
        ""Egg_Arrhenius2"": 5754
    }"
"Egg_Arrhenius2","float","0","1.00E+10","5754.03","The Arrhenius equation, :math:`a_1^{-a_2/T}`, with T in degrees Kelvin, parameterizes the daily rate of mosquito egg hatching. This duration is a decreasing function of temperature.  The variable a2 is a temperature-dependent scale factor on hatching rate. **Enable_Temperature_Dependent_Egg_Hatching** must be set to 1.",".. code-block:: json

    {
        ""Enable_Temperature_Dependent_Egg_Hatching"": 1,     
        ""Egg_Arrhenius1"": 61599956,
        ""Egg_Arrhenius2"": 5754
    }"
"Egg_Hatch_Density_Dependence","enum","NA","NA","NO_DENSITY_DEPENDENCE","The effect of larval density on egg hatching rate. Possible values are: 

DENSITY_DEPENDENCE 
   Egg hatching is reduced when the habitat is nearing its carrying capacity.
NO_DENSITY_DEPENDENCE
   Egg hatching is not dependent upon larval density.",".. code-block:: json

    {
        ""Egg_Hatch_Density_Dependence"": ""NO_DENSITY_DEPENDENCE""
    }"
"Enable_Drought_Egg_Hatch_Delay","boolean","0","1","0","Controls whether or not eggs hatch at delayed rates, set by **Drought_Egg_Hatch_Delay**, when the habitat dries up completely.",".. code-block:: json

    {
        ""Enable_Drought_Egg_Hatch_Delay"": 1, 
        ""Drought_Egg_Hatch_Delay"": 0.33
    }"
"Enable_Egg_Mortality","boolean","0","1","0","Controls whether or not to include a daily mortality rate on the egg population, which is independent of climatic factors. ",".. code-block:: json

    {
        ""Enable_Egg_Mortality"": 1,
    }"
"Enable_Temperature_Dependent_Egg_Hatching","boolean","0","1","0","Controls whether or not temperature has an effect on egg hatching, defined by **Egg_Arrhenius_1** and **Egg_Arrhenius_2**.",".. code-block:: json

    {  
        ""Enable_Temperature_Dependent_Egg_Hatching"": 1,  
        ""Egg_Arrhenius1"": 61599956.864, 
        ""Egg_Arrhenius2"": 5754.033
    }"
