"Amount_In_Shipment","integer","1","2147480000.0","2147480000.0","The number of interventions (such as vaccine doses) that a health worker or clinic receives in a shipment. Interventions can only be distributed if they are in stock; stock is updated every **Days_Between_Shipments** with the **Amount_In_Shipment**.",".. code-block:: json

    {
      ""Amount_In_Shipment"": 10
    }
"
"Days_Between_Shipments","float","1","3.40282e+38","3.40E+38","The number of days to wait before a clinic or health worker receives a new shipment of interventions (such as vaccine doses). Interventions can only be distributed if they are in stock; stock is updated every **Days_Between_Shipments** with the **Amount_In_Shipment**.",".. code-block:: json

    {
      ""Days_Between_Shipments"": 30
    }
"
"Demographic_Coverage","float","0","1","1","The fraction of individuals in the target demographic that will receive this intervention.",".. code-block:: json

    {
      ""Demographic_Coverage"": 1
    }
"
"Duration","float","0","3.40282e+38","3.40E+38","The number of days for an event coordinator to be active before it expires.",".. code-block:: json

    {
      ""Duration"": 65
    }
"
"Initial_Amount_Constant","float","0","3.40282E+38","-1","The initial amount to use for all health workers when **Initial_Amount_Distribution** is set to CONSTANT_DISTRIBUTION.",".. code-block:: json

    {
      ""Initial_Amount_Distribution"": ""CONSTANT_DISTRIBUTION"",
      ""Initial_Amount_Constant"": 8
    }
"
"Initial_Amount_Distribution","enum","NA","NA","NOT_INITIALIZED","The distribution type to use for assigning the initial amount of interventions in stock. Each assigned value is a random draw from the distribution.

Possible values are:

NOT_INITIALIZED
    No distribution set. 
CONSTANT_DISTRIBUTION
    Use the same value for each individual. Set **Initial_Amount_Constant**.
UNIFORM_DISTRIBUTION
    Use a `uniform`_ distribution with a given minimum and maximum. Set **Initial_Amount_Max** and **Initial_Amount_Min**.
GAUSSIAN_DISTRIBUTION
    The distribution is `Gaussian`_ (or normal). Values are resampled to ensure >= 0. Set **Initial_Amount_Gaussian_Mean** and **Initial_Amount_Gaussian_Std_Dev**.
EXPONENTIAL_DISTRIBUTION
    The distribution is `exponential`_ with a given mean. Set **Initial_Amount_Exponential**.
WEIBULL_DISTRIBUTION
    Use a `Weibull`_ distribution with a given shape and scale. Set **Initial_Amount_Kappa** and **Initial_Amount_Lambda**.
LOG_NORMAL_DISTRIBUTION
    Use a `log-normal`_ distribution with a given mean and standard deviation of the natural log. Set **Initial_Amount_Log_Normal_Mu** and **Initial_Amount_Log_Normal_Sigma**.
POISSON_DISTRIBUTION
    Use a `Poisson`_ distribution with a given mean. Set **Initial_Amount_Poisson_Mean**. 
DUAL_CONSTANT_DISTRIBUTION
    Use a distribution where some individuals are set to a value of zero and the rest to a given value. Set **Initial_Amount_Proportion_0** and **Peak_2_Value**. This distribution does not use the parameters set for CONSTANT_DISTRIBUTION.
DUAL_EXPONENTIAL_DISTRIBUTION
    Use two `exponential`_ distributions with given means. Set **Initial_Amount_Mean_1**, **Initial_Amount_Mean_2**, and **Initial_Amount_Proportion_1**. This distribution does not use the parameters set for EXPONENTIAL_DISTRIBUTION.

.. _Gaussian: https://en.wikipedia.org/wiki/Normal_distribution

.. _exponential: https://en.wikipedia.org/wiki/Exponential_distribution

.. _Weibull: https://en.wikipedia.org/wiki/Weibull_distribution

.. _log-normal: https://en.wikipedia.org/wiki/Log-normal_distribution

.. _uniform: https://en.wikipedia.org/wiki/Uniform_distribution_(continuous)

.. _Poisson: https://en.wikipedia.org/wiki/Poisson_distribution

",".. code-block:: json

    {
      ""Initial_Amount_Distribution"": ""DUAL_EXPONENTIAL_DISTRIBUTION"",
      ""Initial_Amount_Mean_1"": 4,
      ""Initial_Amount_Mean_2"": 12,
      ""Initial_Amount_Proportion_1"": 0.2
    }
"
"Initial_Amount_Exponential","float","0","3.40282E+38","-1","The mean of the initial amount of intervention in stock when **Initial_Amount_Distribution** is set to EXPONENTIAL_DISTRIBUTION.",".. code-block:: json

    {
      ""Initial_Amount_Distribution"": ""EXPONENTIAL_DISTRIBUTION"",
      ""Initial_Amount_Exponential"": 4.25
    }
"
"Initial_Amount_Gaussian_Mean","float","0","3.40282E+38","-1","The mean of the initial amount of intervention in stock when **Initial_Amount_Distribution** is set to GAUSSIAN_DISTRIBUTION.",".. code-block:: json

    {
      ""Initial_Amount_Distribution"": ""GAUSSIAN_DISTRIBUTION"",
      ""Initial_Amount_Gaussian_Mean"": 8,
      ""Initial_Amount_Gaussian_Std_Dev"": 1.5
    }
"
"Initial_Amount_Gaussian_Std_Dev","float","1.17549E-38","3.40282E+38","-1","The standard deviation of the initial amount of intervention in stock when **Initial_Amount_Distribution** is set to GAUSSIAN_DISTRIBUTION.",".. code-block:: json

    {
      ""Initial_Amount_Distribution"": ""GAUSSIAN_DISTRIBUTION"",
      ""Initial_Amount_Gaussian_Mean"": 8,
      ""Initial_Amount_Gaussian_Std_Dev"": 1.5
    }
"
"Initial_Amount_Kappa","float","1.17549E-38","3.40282E+38","-1","The shape value for the initial amount of intervention in stock when **Initial_Amount_Distribution** is set to WEIBULL_DISTRIBUTION.",".. code-block:: json

    {
      ""Initial_Amount_Distribution"": ""WEIBULL_DISTRIBUTION"",
      ""Initial_Amount_Kappa"": 0.9,
      ""Initial_Amount_Lambda"": 1.5
    }
"
"Initial_Amount_Lambda","float","1.17549E-38","3.40282E+38","-1","The scale value for the initial amount of intervention in stock when **Initial_Amount_Distribution** is set to WEIBULL_DISTRIBUTION.",".. code-block:: json

    {
      ""Initial_Amount_Distribution"": ""WEIBULL_DISTRIBUTION"",
      ""Initial_Amount_Kappa"": 0.9,
      ""Initial_Amount_Lambda"": 1.5
    }
"
"Initial_Amount_Log_Normal_Mu","float","-3.40282e+38","1.70141e+38","3.40282E+38","The mean of the natural log of the initial amount of intervention in stock when **Initial_Amount_Distribution** is set to LOG_NORMAL_DISTRIBUTION.",".. code-block:: json

    {
      ""Initial_Amount_Distribution"": ""LOG_NORMAL_DISTRIBUTION"",
      ""Initial_Amount_Log_Normal_Mu"": 9,
      ""Initial_Amount_Log_Normal_Sigma"": 2
    }
"
"Initial_Amount_Log_Normal_Sigma","float","-3.40282e+38","3.40282E+38","1","The standard deviation of the natural log of the initial amount of intervention in stock when **Initial_Amount_Distribution** is set to LOG_NORMAL_DISTRIBUTION.",".. code-block:: json

    {
      ""Initial_Amount_Distribution"": ""LOG_NORMAL_DISTRIBUTION"",
      ""Initial_Amount_Log_Normal_Mu"": 9,
      ""Initial_Amount_Log_Normal_Sigma"": 2
    }
"
"Initial_Amount_Max","float","0","3.40282E+38","1","The maximum initial amount of intervention in stock when **Initial_Amount_Distribution** is set to UNIFORM_DISTRIBUTION.",".. code-block:: json

    {
      ""Initial_Amount_Distribution"": ""UNIFORM_DISTRIBUTION"",
      ""Initial_Amount_Max"": 7,
      ""Initial_Amount_Min"": 2
    }
"
"Initial_Amount_Mean_1","float","1.17549E-38","3.40282E+38","-1","The mean of the first exponential distribution when **Initial_Amount_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",".. code-block:: json

    {
      ""Initial_Amount_Distribution"": ""DUAL_EXPONENTIAL_DISTRIBUTION"",
      ""Initial_Amount_Mean_1"": 4,
      ""Initial_Amount_Mean_2"": 12,
      ""Initial_Amount_Proportion_1"": 0.2
    }
"
"Initial_Amount_Mean_2","float","1.17549E-38","3.40282E+38","-1","The mean of the second exponential distribution when **Initial_Amount_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",".. code-block:: json

    {
      ""Initial_Amount_Distribution"": ""DUAL_EXPONENTIAL_DISTRIBUTION"",
      ""Initial_Amount_Mean_1"": 4,
      ""Initial_Amount_Mean_2"": 12,
      ""Initial_Amount_Proportion_1"": 0.2
    }
"
