"Blocking_Config","json object","NA","NA","NA","Object in the **Insecticides** array, configures the rate of blocking for indoor mosquito feeds on individuals with an ITN. Specify how this effect decays over time using one of the :doc:`parameter-campaign-waningeffects`.",".. code-block:: json

    {
      ""Blocking_Config"": {
        ""Box_Duration"": 3650,
        ""Initial_Effect"": 0,
        ""class"": ""WaningEffectBox""
      }
    }
"
"Cost_To_Consumer","float","0","999999","3.75","The unit cost per bednet (unamortized)",".. code-block:: json

    {
      ""Cost_To_Consumer"": 4.5
    }
"
"Discard_Event","enum","NA","NA","""""","The event that is broadcast when an individual discards their bednet, either by replacing an existing net or due to the expiration timer. See :doc:`parameter-campaign-event-list` for possible values, or you can use a custom event (defined in the **Custom_Individual_Events** list in the config file).",".. code-block:: json

    {
      ""Received_Event"": ""Bednet_Got_New_One"",
      ""Using_Event"": ""Bednet_Using"",
      ""Discard_Event"": ""Bednet_Discarded"",
      ""Expiration_Distribution_Type"": ""FIXED_DURATION"",
      ""Expiration_Period"": 50
    }
"
"Disqualifying_Properties","array of strings","NA","NA","[]","A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See :ref:`demo-properties` parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",".. code-block:: json

    {
      ""Disqualifying_Properties"": [
        ""InterventionStatus:LostForever""
      ]
    }
"
"Dont_Allow_Duplicates","boolean","0","1","0","If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.",".. code-block:: json

    {
      ""Dont_Allow_Duplicates"": 0
    }
"
"Expiration_Period_Constant","float","0","3.40282E+38","-1","The expiration period to use for all bednets, in days, when **Expiration_Period_Distribution** is set to CONSTANT_DISTRIBUTION.",".. code-block:: json

    {
      ""Expiration_Period_Distribution"": ""CONSTANT_DISTRIBUTION"",
      ""Expiration_Period_Constant"": 8
    }
"
"Expiration_Period_Distribution","enum","NA","NA","NOT_INITIALIZED","The distribution type to use for assigning the expiration period to a usage-dependent bednet. Each assigned value is a random draw from the distribution.

Possible values are:

NOT_INITIALIZED
    No distribution set.
CONSTANT_DISTRIBUTION
    Use the same value for each individual. Set **Expiration_Period_Constant**.
UNIFORM_DISTRIBUTION
    Use a `uniform`_ distribution with a given minimum and maximum. Set **Expiration_Period_Max** and **Expiration_Period_Min**.
GAUSSIAN_DISTRIBUTION
    The distribution is `Gaussian`_ (or normal). Values are resampled to ensure >= 0. Set **Expiration_Period_Gaussian_Mean** and **Expiration_Period_Gaussian_Std_Dev**.
EXPONENTIAL_DISTRIBUTION
    The distribution is `exponential`_ with a given mean. Set **Expiration_Period_Exponential**.
WEIBULL_DISTRIBUTION
    Use a `Weibull`_ distribution with a given shape and scale. Set **Expiration_Period_Kappa** and **Expiration_Period_Lambda**.
LOG_NORMAL_DISTRIBUTION
    Use a `log-normal`_ distribution with a given mean and width. Set **Expiration_Period_Log_Normal_Mu** and **Expiration_Period_Log_Normal_Sigma**.
POISSON_DISTRIBUTION
    Use a `Poisson`_ distribution with a given mean. Set **Expiration_Period_Poisson_Mean**.
DUAL_CONSTANT_DISTRIBUTION
    Use a distribution where some individuals are set to a value of zero and the rest to a given value. Set **Expiration_Period_Proportion_0** and **Peak_2_Value**. This distribution does not use the parameters set for CONSTANT_DISTRIBUTION.
DUAL_EXPONENTIAL_DISTRIBUTION
    Use two `exponential`_ distributions with given means. Set **Expiration_Period_Mean_1**, **Expiration_Period_Mean_2**, and **Expiration_Period_Proportion_1**. This distribution does not use the parameters set for EXPONENTIAL_DISTRIBUTION.

.. _Gaussian: https://en.wikipedia.org/wiki/Normal_distribution

.. _exponential: https://en.wikipedia.org/wiki/Exponential_distribution

.. _Weibull: https://en.wikipedia.org/wiki/Weibull_distribution

.. _log-normal: https://en.wikipedia.org/wiki/Log-normal_distribution

.. _uniform: https://en.wikipedia.org/wiki/Uniform_distribution_(continuous)

.. _Poisson: https://en.wikipedia.org/wiki/Poisson_distribution

",".. code-block:: json

    {
      ""Duration_Before_Leaving_Distribution"": ""LOG_NORMAL_DISTRIBUTION"",
      ""Duration_Before_Leaving_Log_Normal_Mu"": 9,
      ""Duration_Before_Leaving_Log_Normal_Sigma"": 2
    }
"
"Expiration_Period_Exponential","float","0","3.40282E+38","-1","The mean of the expiration period, in days, when **Expiration_Period_Distribution** is set to EXPONENTIAL_DISTRIBUTION.",".. code-block:: json

    {
      ""Expiration_Period_Distribution"": ""EXPONENTIAL_DISTRIBUTION"",
      ""Expiration_Period_Exponential"": 4.25
    }
"
"Expiration_Period_Gaussian_Mean","float","0","3.40282E+38","-1","The mean of the expiration period, in days, when **Expiration_Period_Distribution** is set to GAUSSIAN_DISTRIBUTION.",".. code-block:: json

    {
      ""Expiration_Period_Distribution"": ""GAUSSIAN_DISTRIBUTION"",
      ""Expiration_Period_Gaussian_Mean"": 8,
      ""Expiration_Period_Gaussian_Std_Dev"": 1.5
    }
"
"Expiration_Period_Gaussian_Std_Dev","float","1.17549E-38","3.40282E+38","-1","The standard deviation of the expiration period, in days, when **Expiration_Period_Distribution** is set to GAUSSIAN_DISTRIBUTION.",".. code-block:: json

    {
      ""Expiration_Period_Distribution"": ""GAUSSIAN_DISTRIBUTION"",
      ""Expiration_Period_Gaussian_Mean"": 8,
      ""Expiration_Period_Gaussian_Std_Dev"": 1.5
    }
"
"Expiration_Period_Kappa","float","1.17549E-38","3.40282E+38","-1","The shape value for the expiration period, in days, when **Expiration_Period_Distribution** is set to WEIBULL_DISTRIBUTION.",".. code-block:: json

    {
      ""Expiration_Period_Distribution"": ""WEIBULL_DISTRIBUTION"",
      ""Expiration_Period_Kappa"": 0.9,
      ""Expiration_Period_Lambda"": 1.5
    }
"
"Expiration_Period_Lambda","float","1.17549E-38","3.40282E+38","-1","The scale value for the expiration period, in days, when **Expiration_Period_Distribution** is set to WEIBULL_DISTRIBUTION.",".. code-block:: json

    {
      ""Expiration_Period_Distribution"": ""WEIBULL_DISTRIBUTION"",
      ""Expiration_Period_Kappa"": 0.9,
      ""Expiration_Period_Lambda"": 1.5
    }
"
"Expiration_Period_Log_Normal_Mu","float","-3.40282e+38","1.70141e+38","3.40282E+38","The mean of the expiration period, in days, when **Expiration_Period_Distribution** is set to LOG_NORMAL_DISTRIBUTION.",".. code-block:: json

    {
      ""Expiration_Period_Distribution"": ""LOG_NORMAL_DISTRIBUTION"",
      ""Expiration_Period_Log_Normal_Mu"": 9,
      ""Expiration_Period_Log_Normal_Sigma"": 2
    }
"
"Expiration_Period_Log_Normal_Sigma","float","-3.40282e+38","1.70141e+38","3.40282E+38","The width of the expiration period, in days, when **Expiration_Period_Distribution** is set to LOG_NORMAL_DISTRIBUTION.",".. code-block:: json

    {
      ""Expiration_Period_Distribution"": ""LOG_NORMAL_DISTRIBUTION"",
      ""Expiration_Period_Log_Normal_Mu"": 9,
      ""Expiration_Period_Log_Normal_Sigma"": 2
    }
"
"Expiration_Period_Max","float","0","3.40282E+38","-1","The maximum expiration period, in days, when **Expiration_Period_Distribution** is set to UNIFORM_DISTRIBUTION.",".. code-block:: json

    {
      ""Expiration_Period_Distribution"": ""UNIFORM_DISTRIBUTION"",
      ""Expiration_Period_Min"": 2,
      ""Expiration_Period_Max"": 7
    }
"
"Expiration_Period_Mean_1","float","1.17549E-38","3.40282E+38","-1","The mean of the first exponential distribution, in days, when **Expiration_Period_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",".. code-block:: json

    {
      ""Expiration_Period_Distribution"": ""DUAL_EXPONENTIAL_DISTRIBUTION"",
      ""Expiration_Period_Mean_1"": 4,
      ""Expiration_Period_Mean_2"": 12,
      ""Expiration_Period_Proportion_1"": 0.2
    }
"
"Expiration_Period_Mean_2","float","1.17549E-38","3.40282E+38","-1","The mean of the second exponential distribution, in days, when **Expiration_Period_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",".. code-block:: json

    {
      ""Expiration_Period_Distribution"": ""DUAL_EXPONENTIAL_DISTRIBUTION"",
      ""Expiration_Period_Mean_1"": 4,
      ""Expiration_Period_Mean_2"": 12,
      ""Expiration_Period_Proportion_1"": 0.2
    }
"
"Expiration_Period_Min","float","0","3.40282E+38","-1","The minimum expiration period, in days, when **Expiration_Period_Distribution** is set to UNIFORM_DISTRIBUTION.",".. code-block:: json

    {
      ""Expiration_Period_Distribution"": ""UNIFORM_DISTRIBUTION"",
      ""Expiration_Period_Min"": 2,
      ""Expiration_Period_Max"": 7
    }
"
"Expiration_Period_Peak_2_Value","float","0","3.40282E+38","-1","The expiration period value to assign to the remaining bednets, in days, when **Expiration_Period_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.",".. code-block:: json

    {
      ""Expiration_Period_Distribution"": ""DUAL_CONSTANT_DISTRIBUTION"",
      ""Expiration_Period_Proportion_0"": 0.25,
      ""Expiration_Period_Peak_2_Value"": 5
    }
"
"Expiration_Period_Poisson_Mean","float","0","3.40282E+38","-1","The mean of the expiration period, in days, when **Expiration_Period** is set to POISSON_DISTRIBUTION.",".. code-block:: json

    {
      ""Expiration_Period_Distribution"": ""POISSON_DISTRIBUTION"",
      ""Expiration_Period_Poisson_Mean"": 5
    }
"
"Expiration_Period_Proportion_0","float","0","1","-1","The proportion of bednets to assign a value of zero days until expiration when **Expiration_Period_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.",".. code-block:: json

    {
      ""Expiration_Period_Distribution"": ""DUAL_CONSTANT_DISTRIBUTION"",
      ""Expiration_Period_Proportion_0"": 0.25,
      ""Expiration_Period_Peak_2_Value"": 5
    }
"
"Expiration_Period_Proportion_1","float","0","1","-1","The proportion of bednets in the first exponential distribution.",".. code-block:: json

    {
      ""Expiration_Period_Distribution"": ""DUAL_EXPONENTIAL_DISTRIBUTION"",
      ""Expiration_Period_Mean_1"": 4,
      ""Expiration_Period_Mean_2"": 12,
      ""Expiration_Period_Proportion_1"": 0.2
    }
"
"Insecticide_Name","string","NA","NA","UNINITIALIZED STRING","Object in the **Insecticides** array, the name of the insecticide defined in  **Insecticides**  for this intervention.  If insecticides are being used,  this must be defined as one of those values; if they are not being used this can be empty.  It cannot have a value if you did not configure <config.Insecticides>.",".. code-block:: json

    {
      ""Insecticide_Name"": ""carbamate""
    }
"
