"Acquire_Modifier","float","0","1","1","Modifier of the probability of successful infection of a mosquito by an infected individual, given the individual's infectiousness.",".. code-block:: json

    {
        ""Vector_Species_Params"": [
            {
                ""Name"": ""aegypti"",
                ""Acquire_Modifier"": 1
            }
        ]
    }
"
"Age_Dependent_Biting_Risk_Type","enum","NA","NA","OFF","The type of functional form for age-dependent biting risk. Possible values are: 

OFF
    This is the default value. 
LINEAR
    The biting risk is 20% of the adult exposure rising linearly until age 20. 
SURFACE_AREA_DEPENDENT
    The biting risk rises linearly from 7% to 23% over the first two years of life and then rises with a shallower linear slope to the adult value at age 20.",".. code-block:: json

    {
        ""Age_Dependent_Biting_Risk_Type"": ""SURFACE_AREA_DEPENDENT""
    }
"
"Base_Infectivity","float","0","1000","0.3","The base infectiousness of individuals before accounting for transmission-blocking effects of acquired immunity and/or campaign interventions.

.. only:: generic
    
    For generic simulations, this is the average number of individuals per time step who will be exposed to infection by one infectious individual. In the case of super-infection, the infectiousness is summed over all infections. 

.. only:: vector or malaria

    For vector and malaria simulations, this is the probability of infecting a mosquito during a successful blood meal (modulated by the vector parameter **Acquire_Modifier**). The sum infectiousness of an individual is not allowed to exceed 100%. 

.. only:: sti or hiv

    For STI or HIV simulations, this is the probability of transmission when none of the transmission multipliers apply to a particular coital act (or when all multipliers are set to 1). 

.. only:: tbhiv

    For TB simulations, this is the base infectivity in smear-positive individuals. This value is modified by **TB_Smear_Negative_Infectivity_Multiplier** for smear-negative individuals.

.. only:: environmental 

    For environmental simulations, this is the probability of infecting an individual through the contact and environmental routes.

.. only:: typhoid 

     This parameter is not used. ",".. code-block:: json

    {
        ""Base_Infectivity"": 0.5
    }
"
"Enable_Heterogeneous_Intranode_Transmission","boolean","0","1","0","Controls whether or not individuals experience heterogeneous disease transmission within a node. When set to true (1), individual property definitions and the :math:`\beta` matrix must be specified in the demographics file (see :ref:`demo-properties` parameters). The :math:`\beta` values are multiplied with the :math:`\beta` :sub:`0` value configured by **Base_Infectivity**.

This is used only in generic, environmental, and typhoid simulations, but must be set to false (0) for all other simulation types. Heterogeneous transmission for other diseases uses other mechanistic parameters included with the simulation type.",".. code-block:: json

    {
        ""Enable_Heterogeneous_Intranode_Transmission"": 1
    }
"
"Enable_Infectivity_Reservoir","boolean","0","1","0","Controls whether or not an exogeneous reservoir of infectivity will be included in the simulation and allows for the infectivity in a node to be increased additively. When set to 1 (true), the demographics parameter **InfectivityReservoirSize** is expected in **NodeAtttributes** for each node.

.. warning::

    Do not set both **Enable_Infectivity_Reservoir** and  **Enable_Strain_Tracking** to true (1) - as this combination will cause an exception error.",".. code-block:: json

    {
        ""Enable_Infectivity_Reservoir"": 1
    }
"
"Enable_Initial_Prevalence","boolean","0","1","0","Controls whether or not parameters in the demographics file are used to define a distribution for the number of infected people per node at the beginning of the simulation. Set the distribution under :ref:`demo-nodeattributes` using **PrevalenceDistributionFlag**, **PrevalenceDistribution1**, and **PrevalenceDistribution2**.


    ",".. code-block:: json

    {
        ""Enable_Initial_Prevalence"": 1
    }
"
"Enable_Skipping","boolean","0","1","0","Controls whether or not the simulation uses an optimization that can increase performance by up to 50% in some cases by probabilistically exposing individuals rather than exposing every single person. Useful in low-prevalence, high-population scenarios.
",".. code-block:: json

    {
        ""Enable_Skipping"": 0
    }
"
"Enable_Superinfection","boolean","0","1","0","Controls whether or not an individual can have multiple infections simultaneously. Set to true (1) to allow for multiple simultaneous infections; set to false (0) if multiple infections are not possible. Set the **Max_Individual_Infections** parameter.",".. code-block:: json

    {
        ""Enable_Superinfection"": 1,
        ""Max_Individual_Infections"": 2
    }
"
"Enable_Termination_On_Zero_Total_Infectivity","boolean","0","1","0","Controls whether or not the simulation should be ended when total infectivity falls to zero. Supported only in single-node simulations. ",".. code-block:: json

    {
        ""Enable_Termination_On_Zero_Total_Infectivity"": 1,
        ""Minimum_End_Time"": 3650
    }
"
"Infected_Arrhenius_1","float","0","1.00E+15","1.17E+11","The Arrhenius equation, :math:`a_1^{-a_2/T}`, with T in degrees Kelvin, parameterizes the daily rate of fractional progression of infected mosquitoes to an infectious state. The duration of sporogony is a decreasing function of temperature. The variable a1 is a temperature-independent scale factor on the progression rate to infectiousness. ",".. code-block:: json

    {
        ""Vector_Species_Params"": [
            {
                ""Name"": ""arabiensis"",
                ""Acquire_Modifier"": 0.2,
                ""Adult_Life_Expectancy"": 20,
                ""Anthropophily"": 0.65,
                ""Aquatic_Arrhenius_1"": 84200000000,
                ""Aquatic_Arrhenius_2"": 8328,
                ""Aquatic_Mortality_Rate"": 0.1,
                ""Days_Between_Feeds"": 3,
                ""Egg_Batch_Size"": 100,
                ""Habitats"": [
                    {
                        ""Habitat_Type"": ""TEMPORARY_RAINFALL"",
                        ""Max_Larval_Capacity"": 11250000000
                    }
                ],
                ""Immature_Duration"": 2,
                ""Indoor_Feeding_Fraction"": 1,
                ""Infected_Arrhenius_1"": 117000000000,
                ""Infected_Arrhenius_2"": 8336,
                ""Infected_Egg_Batch_Factor"": 0.8,
                ""Infectious_Human_Feed_Mortality_Factor"": 1.5,
                ""Male_Life_Expectancy"": 10,
                ""Temperature_Dependent_Feeding_Cycle"": ""NO_TEMPERATURE_DEPENDENCE"",
                ""Transmission_Rate"": 0.5,
                ""Vector_Sugar_Feeding_Frequency"": ""VECTOR_SUGAR_FEEDING_NONE""
            }
        ]
    }
"
"Infected_Arrhenius_2","float","0","1.00E+15","8340","The Arrhenius equation, :math:`a_1^{-a_2/T}`, with T in degrees Kelvin, parameterizes the daily rate of fractional progression of infected mosquitoes to an infectious state. The duration of sporogony is a decreasing function of temperature. The variable a2 is a temperature-dependent scale factor on the progression rate to infectiousness.  ",".. code-block:: json

    {
        ""Vector_Species_Params"": [
            {
                ""Name"": ""arabiensis"",
                ""Acquire_Modifier"": 0.2,
                ""Adult_Life_Expectancy"": 20,
                ""Anthropophily"": 0.65,
                ""Aquatic_Arrhenius_1"": 84200000000,
                ""Aquatic_Arrhenius_2"": 8328,
                ""Aquatic_Mortality_Rate"": 0.1,
                ""Days_Between_Feeds"": 3,
                ""Egg_Batch_Size"": 100,
                ""Habitats"": [
                    {
                        ""Habitat_Type"": ""TEMPORARY_RAINFALL"",
                        ""Max_Larval_Capacity"": 11250000000
                    }
                ],
                ""Immature_Duration"": 2,
                ""Indoor_Feeding_Fraction"": 1,
                ""Infected_Arrhenius_1"": 117000000000,
                ""Infected_Arrhenius_2"": 8336,
                ""Infected_Egg_Batch_Factor"": 0.8,
                ""Infectious_Human_Feed_Mortality_Factor"": 1.5,
                ""Male_Life_Expectancy"": 10,
                ""Temperature_Dependent_Feeding_Cycle"": ""NO_TEMPERATURE_DEPENDENCE"",
                ""Transmission_Rate"": 0.5,
                ""Vector_Sugar_Feeding_Frequency"": ""VECTOR_SUGAR_FEEDING_NONE""
            }
        ]
    }
"
