"Aquatic_Arrhenius_1","float","0","1.00E+15","8.42E+10","The Arrhenius equation, :math:`a_1^{-a_2/T}`, with T in degrees Kelvin, parameterizes the daily rate of fractional progression of mosquito aquatic development (egg-hatching through emergence). This duration is a decreasing function of temperature.  The variable a1 is a temperature-independent scale factor on development rate.",".. code-block:: json

    {
        ""Vector_Species_Params"": [
            {
                ""Aquatic_Arrhenius_1"": 9752291.727,
                ""Name"": ""arabiensis""
            }
        ]
    }
"
"Aquatic_Arrhenius_2","float","0","1.00E+15","8328","The Arrhenius equation, :math:`a_1^{-a_2/T}`, with T in degrees Kelvin, parameterizes the daily rate of fractional progression of mosquito aquatic development (egg-hatching through emergence). This duration is a decreasing function of temperature.  The variable a2 governs how quickly the rate changes with temperature.",".. code-block:: json

    {
        ""Vector_Species_Params"": [
            {
                ""Aquatic_Arrhenius_2"": 8328,
                ""Name"": ""arabiensis""
            }
        ]
    }
"
"Aquatic_Mortality_Rate","float","0","1","0.1","The base aquatic mortality per day for the species before adjusting for effects of overpopulation and drying out of aquatic habitat.",".. code-block:: json

    {
        ""Vector_Species_Params"": [
            {
                ""Aquatic_Mortality_Rate"": 0.1,
                ""Name"": ""arabiensis""
            }
        ]
    }
"
"Drought_Egg_Hatch_Delay","float","0","1","0.33","Proportion of regular egg hatching that still occurs when habitat dries up. **Enable_Drought_Egg_Hatch_Delay** must be set to 1.",".. code-block:: json

    {
        ""Enable_Drought_Egg_Hatch_Delay"": 1,
        ""Drought_Egg_Hatch_Delay"": 0.33
    }
"
"Egg_Arrhenius1","float","0","1.00E+10","6.16E+07","The Arrhenius equation, :math:`a_1^{-a_2/T}`, with T in degrees Kelvin, parameterizes the daily rate of mosquito egg hatching. This duration is a decreasing function of temperature.  The variable a1 is a temperature-independent scale factor on hatching rate. **Enable_Temperature_Dependent_Egg_Hatching** must be set to 1.",".. code-block:: json

    {
        ""Enable_Temperature_Dependent_Egg_Hatching"": 1,
        ""Egg_Arrhenius1"": 61599956,
        ""Egg_Arrhenius2"": 5754
    }
"
"Egg_Arrhenius2","float","0","1.00E+10","5754.03","The Arrhenius equation, :math:`a_1^{-a_2/T}`, with T in degrees Kelvin, parameterizes the daily rate of mosquito egg hatching. This duration is a decreasing function of temperature.  The variable a2 is a temperature-dependent scale factor on hatching rate. **Enable_Temperature_Dependent_Egg_Hatching** must be set to 1.",".. code-block:: json

    {
        ""Enable_Temperature_Dependent_Egg_Hatching"": 1,
        ""Egg_Arrhenius1"": 61599956,
        ""Egg_Arrhenius2"": 5754
    }
"
"Egg_Hatch_Density_Dependence","enum","NA","NA","NO_DENSITY_DEPENDENCE","The effect of larval density on egg hatching rate. Possible values are: 

DENSITY_DEPENDENCE
   Egg hatching is reduced when the habitat is nearing its carrying capacity.
NO_DENSITY_DEPENDENCE
   Egg hatching is not dependent upon larval density.",".. code-block:: json

    {
        ""Egg_Hatch_Density_Dependence"": ""NO_DENSITY_DEPENDENCE""
    }
"
"Egg_Saturation_At_Oviposition","enum","NA","NA","NO_SATURATION","If laying all eggs from ovipositing females would overflow the larval habitat capacity on a given day, the means by which the viable eggs become saturated.  Possible values are: 

NO_SATURATION
    Egg number does not saturate; all eggs are laid.
SATURATION_AT_OVIPOSITION
    Eggs are saturated at oviposition; habitat is filled to capacity and excess eggs are discarded.
SIGMOIDAL_SATURATION
    Eggs are saturated along a sigmoidal curve; proportionately fewer eggs are laid depending on how oversubscribed the habitat would be.",".. code-block:: json

    {
        ""Egg_Saturation_At_Oviposition"": ""SATURATION_AT_OVIPOSITION""
    }
"
"Enable_Drought_Egg_Hatch_Delay","boolean","0","1","0","Controls whether or not eggs hatch at delayed rates, set by **Drought_Egg_Hatch_Delay**, when the habitat dries up completely.",".. code-block:: json

    {
        ""Enable_Drought_Egg_Hatch_Delay"": 1,
        ""Drought_Egg_Hatch_Delay"": 0.33
    }
"
"Enable_Egg_Mortality","boolean","0","1","0","Controls whether or not to include a daily mortality rate on the egg population, which is independent of climatic factors. ",".. code-block:: json

    {
        ""Enable_Egg_Mortality"": 1
    }
"
"Enable_Temperature_Dependent_Egg_Hatching","boolean","0","1","0","Controls whether or not temperature has an effect on egg hatching, defined by **Egg_Arrhenius_1** and **Egg_Arrhenius_2**.",".. code-block:: json

    {
        ""Enable_Temperature_Dependent_Egg_Hatching"": 1,
        ""Egg_Arrhenius1"": 61599956.864,
        ""Egg_Arrhenius2"": 5754.033
    }
"
