"Acquire_Modifier","float","0","1","1","Modifier of the probability of successful infection of a mosquito by an infected individual, given the individual's infectiousness.",".. code-block:: json

    {
        ""Vector_Species_Params"": [
            {
                ""Acquire_Modifier"": 1,
                ""Name"": ""arabiensis""
            }
        ]
    }
"
"Antibody_IRBC_Kill_Rate","double","NA","NA","2","The scale factor multiplied by antibody level to produce the rate of clearance of the infected red blood cell (IRBC) population.",".. code-block:: json

    {
        ""Antibody_IRBC_Kill_Rate"": 1.595
    }
"
"Aquatic_Arrhenius_1","float","0","1.00E+15","8.42E+10","The Arrhenius equation, :math:`a_1^{-a_2/T}`, with T in degrees Kelvin, parameterizes the daily rate of fractional progression of mosquito aquatic development (egg-hatching through emergence). This duration is a decreasing function of temperature.  The variable a1 is a temperature-independent scale factor on development rate.",".. code-block:: json

    {
        ""Vector_Species_Params"": [
            {
                ""Aquatic_Arrhenius_1"": 9752291.727,
                ""Name"": ""arabiensis""
            }
        ]
    }
"
"Aquatic_Arrhenius_2","float","0","1.00E+15","8328","The Arrhenius equation, :math:`a_1^{-a_2/T}`, with T in degrees Kelvin, parameterizes the daily rate of fractional progression of mosquito aquatic development (egg-hatching through emergence). This duration is a decreasing function of temperature.  The variable a2 governs how quickly the rate changes with temperature.",".. code-block:: json

    {
        ""Vector_Species_Params"": [
            {
                ""Aquatic_Arrhenius_2"": 8328,
                ""Name"": ""arabiensis""
            }
        ]
    }
"
"Birth_Rate_Time_Dependence","enum","NA","NA","NONE","A scale factor for **BirthRate** that allows it to be altered by time or season. **Enable_Birth** must be set to true (1). Possible values are:

NONE
    Birth rate does not vary by time.
SINUSOIDAL_FUNCTION_OF_TIME
    Allows birth rate to be time-dependent, following a sinusoidal shape defined by :math:`1 + \sin \text{Birth\_Rate\_Sinusoidal\_Forcing\_Amplitude} \times \sin(2 \pi \times (\text{day} - \sin \text{Birth\_Rate\_Sinusoidal\_Forcing\_Phase})/365)`. Set **Birth_Rate_Sinusoidal_Forcing_Amplitude** and **Birth_Rate_Sinusoidal_Forcing_Phase**. 
ANNUAL_BOXCAR_FUNCTION
    Allows birth rate to follow a boxcar function. The scale factor will be equal to 1 except for a single interval in which it is equal to a given constant equal to 1 + **Birth_Rate_Boxcar_Forcing_Amplitude**. Set **Birth_Rate_Boxcar_Forcing_Amplitude**, **Birth_Rate_Boxcar_Forcing_End_Time**, and **Birth_Rate_Boxcar_Forcing_Start_Time**.",".. code-block:: json

    {
        ""Enable_Vital_Dynamics"": 1,
        ""Enable_Birth"": 1,
        ""Birth_Rate_Time_Dependence"": ""ANNUAL_BOXCAR_FUNCTION""
    }
"
"Cycle_Arrhenius_1","float","0","1.00E+15","4.09E+10","The Arrhenius equation, :math:`a_1^{-a_2/T}`, with T in degrees Kelvin, parameterizes the mosquito feeding cycle rate. This duration is a decreasing function of temperature.  The variable a1 is a temperature-independent scale factor on feeding rate. **Temperature_Dependent_Feeding_Cycle** must be set to ARRHENIUS_DEPENDENCE.",".. code-block:: json

    {
        ""Vector_Species_Params"": [
            {
                ""Cycle_Arrhenius_1"": 99,
                ""Cycle_Arrhenius_2"": 88,
                ""Name"": ""arabiensis"",
                ""Temperature_Dependent_Feeding_Cycle"": ""ARRHENIUS_DEPENDENCE""
            }
        ]
    }
"
"Cycle_Arrhenius_2","float","0","1.00E+15","7740","The Arrhenius equation, :math:`a_1^{-a_2/T}`, with T in degrees Kelvin, parameterizes the mosquito feeding cycle rate. This duration is a decreasing function of temperature.  The variable a2 is a temperature-independent scale factor on feeding rate. **Temperature_Dependent_Feeding_Cycle** must be set to ARRHENIUS_DEPENDENCE.",".. code-block:: json

    {
        ""Vector_Species_Params"": [
            {
                ""Cycle_Arrhenius_1"": 99,
                ""Cycle_Arrhenius_2"": 88,
                ""Name"": ""arabiensis"",
                ""Temperature_Dependent_Feeding_Cycle"": ""ARRHENIUS_DEPENDENCE""
            }
        ]
    }
"
"Cycle_Arrhenius_Reduction_Factor","float","0","1","1","The scale factor applied to cycle duration (from oviposition to oviposition) to reduce the duration when primary follicles are at stage II rather than I in the case of newly emerged females. **Temperature_Dependent_Feeding_Cycle** must be set to ARRHENIUS_DEPENDENCE.",".. code-block:: json

    {
        ""Vector_Species_Params"": [
            {
                ""Cycle_Arrhenius_Reduction_Factor"": 0.44,
                ""Name"": ""arabiensis"",
                ""Temperature_Dependent_Feeding_Cycle"": ""ARRHENIUS_DEPENDENCE""
            }
        ]
    }
"
"Egg_Arrhenius1","float","0","1.00E+10","6.16E+07","The Arrhenius equation, :math:`a_1^{-a_2/T}`, with T in degrees Kelvin, parameterizes the daily rate of mosquito egg hatching. This duration is a decreasing function of temperature.  The variable a1 is a temperature-independent scale factor on hatching rate. **Enable_Temperature_Dependent_Egg_Hatching** must be set to 1.",".. code-block:: json

    {
        ""Enable_Temperature_Dependent_Egg_Hatching"": 1,
        ""Egg_Arrhenius1"": 61599956,
        ""Egg_Arrhenius2"": 5754
    }
"
"Egg_Arrhenius2","float","0","1.00E+10","5754.03","The Arrhenius equation, :math:`a_1^{-a_2/T}`, with T in degrees Kelvin, parameterizes the daily rate of mosquito egg hatching. This duration is a decreasing function of temperature.  The variable a2 is a temperature-dependent scale factor on hatching rate. **Enable_Temperature_Dependent_Egg_Hatching** must be set to 1.",".. code-block:: json

    {
        ""Enable_Temperature_Dependent_Egg_Hatching"": 1,
        ""Egg_Arrhenius1"": 61599956,
        ""Egg_Arrhenius2"": 5754
    }
"
