"Age_Bin_Edges_In_Years","Airborne, Dengue, Environmental, Generic, HIV, Malaria, STI, TBHIV, Typhoid, Vector","array","NA","NA","NA","An array of integers that represents the ages, in years, at which to demarcate the age groups for individuals. Used only with the **Age_Bin** property type. The first number must be 0, the last must be -1, and they must be listed in ascending order. Cannot be used with **NodeProperties**.

|EMOD_s| automatically create the individual property **Age_Bin** with values based on the bin edges using the format **Age_Bin_Property_From_X_To_Y**. These appear in the property reports and can be used to target campaign interventions using **Property_Restrictions_Within_Node**. See :doc:`model-targeted-interventions` for more information.","The following example creates three age groups: 0 to 5, older than 5 to 13, and older than 13 to the maximum age.

.. code-block:: json

    {
        ""Defaults"": {
            ""IndividualProperties"": [
                {
                    ""Property"": ""Age_Bin"",
                    ""Age_Bin_Edges_In_Years"": [
                        0,
                        5,
                        13,
                        -1
                    ]
                }
            ]
        }
    }
"
"AgeDistribution","Airborne, Dengue, Environmental, Generic, HIV, Malaria, Polio, STI, TBHIV, Typhoid, Vector, py_sim","JSON object","NA","NA","NA","The structure defining a complex age distribution. **Age_Initialization_Distribution_Type** in the configuration file must be set to DISTRIBUTION_COMPLEX.","The following example shows at age distribution in which 25% of individuals are under age 5, 50% are between 5 and 20, and 25% are between 20 and 35.

.. code-block:: json

    {
        ""IndividualAttributes"": {
            ""AgeDistribution"": {
                ""ResultUnits"": ""years"",
                ""ResultScaleFactor"": 365,
                ""ResultValues"": [
                    0,
                    0.25,
                    0.75,
                    1
                ],
                ""DistributionValues"": [
                    0,
                    5,
                    20,
                    35
                ]
            }
        }
    }
"
"AgeDistribution1","Dengue, Generic, HIV, Malaria, STI, TBHIV, Typhoid, Vector","float","-3.40282e+038","3.40282e+038","0.000118","The first value in the age distribution, the meaning of which depends upon the value set in **AgeDistributionFlag**. The table below shows the flag value and corresponding distribution value. 

.. csv-table::
   :header: AgeDistributionFlag, AgeDistribution1
   :widths: 1, 3

   0, ""Age, in days, to assign to all individuals.""
   1, ""Minimum age, in days, for a uniform distribution.""
   2, ""Mean age, in days, for a Gaussian distribution.""
   3, ""Exponential decay rate.""
   4, ""Mean age, in days, for a Poisson distribution.""
   5, Mu (the mean of the natural log) for a log normal distribution.
   6, ""Proportion of individuals in the second, user-defined age bin vs. the first age bin (1 day) for a bimodal distribution. Must be between 0 and 1.""
   7, Scale parameter for a Weibull distribution.

**Age_Initialization_Distribution_Type** in the configuration file must be set to DISTRIBUTION_SIMPLE (see :doc:`parameter-configuration-population` parameters).",".. code-block:: json

    {
        ""IndividualAttributes"": {
            ""AgeDistributionFlag"": 0,
            ""AgeDistribution1"": 25550,
            ""AgeDistribution2"": 0
        }
    }
"
"AgeDistribution2","Airborne, Dengue, Environmental, Generic, HIV, Malaria, Polio, STI, TBHIV, Typhoid, Vector, py_sim","float","-3.40282e+038","3.40282e+038","0","The second value in the age distribution, the meaning of which depends upon the value set in **AgeDistributionFlag**. The table below shows the flag value and corresponding distribution value. 

.. csv-table::
   :header: AgeDistributionFlag, AgeDistribution2
   :widths: 1, 3

   0, ""NA, set to 0.""
   1, ""Maximum age, in days, for a uniform distribution.""
   2, ""Standard deviation in age, in days, for a Gaussian distribution.""
   3, ""NA, set to 0.""
   4, ""NA, set to 0.""
   5, Sigma (the standard deviation of the natural log) for a log normal distribution.
   6, ""The age, in days, of individuals in the second age bin for a bimodal distribution.""
   7, Shape parameter for a Weibull distribution.

**Age_Initialization_Distribution_Type** in the configuration file must be set to DISTRIBUTION_SIMPLE (see :doc:`parameter-configuration-population` parameters).",".. code-block:: json

    {
        ""IndividualAttributes"": {
            ""AgeDistributionFlag"": 0,
            ""AgeDistribution1"": 25550,
            ""AgeDistribution2"": 0
        }
    }
"
"AgeDistributionFlag","Airborne, Dengue, Environmental, Generic, HIV, Malaria, Polio, STI, TBHIV, Typhoid, Vector, py_sim","integer","0","7","3","The type of distribution to use for age. Possible values are:

* 0 (Constant, everyone in the population is the same age.)
* 1 (Uniform, ages are randomly drawn between a minimum and maximum value.)
* 2 (Gaussian)
* 3 (Exponential)
* 4 (Poisson)
* 5 (Log normal)
* 6 (Bimodal, non-continuous with some individuals 1 day old and others a user-defined age.)
* 7 (Weibull)

**Age_Initialization_Distribution_Type** in the configuration file must be set to DISTRIBUTION_SIMPLE (see :doc:`parameter-configuration-population` parameters).",".. code-block:: json

    {
        ""IndividualAttributes"": {
            ""AgeDistributionFlag"": 0,
            ""AgeDistribution1"": 25550,
            ""AgeDistribution2"": 0
        }
    }
"
"Age_of_First_Bin_Edge_Female","HIV, STI","integer","0","100","1","The maximum age for the first age bin when dividing the female population into age bins for pair formation.",".. code-block:: json

    {
        ""Society"": {
            ""TRANSITORY"": {
                ""Pair_Formation_Parameters"": {
                    ""Number_Age_Bins_Male"": 25,
                    ""Number_Age_Bins_Female"": 2,
                    ""Age_of_First_Bin_Edge_Male"": 10,
                    ""Age_of_First_Bin_Edge_Female"": 20
                }
            }
        }
    }
"
"Age_of_First_Bin_Edge_Male","HIV, STI","integer","0","100","1","The maximum age for the first age bin when dividing the male population into age bins for pair formation.",".. code-block:: json

    {
        ""Society"": {
            ""TRANSITORY"": {
                ""Pair_Formation_Parameters"": {
                    ""Number_Age_Bins_Male"": 25,
                    ""Number_Age_Bins_Female"": 2,
                    ""Age_of_First_Bin_Edge_Male"": 10,
                    ""Age_of_First_Bin_Edge_Female"": 20
                }
            }
        }
    }
"
"Airport","Airborne, Dengue, Environmental, Generic, HIV, Malaria, Polio, STI, TBHIV, Typhoid, Vector, py_sim","boolean","0","1","0","Indicates whether or not the node has an airport for air migration from (not to) the node. If set to 1, **Enable_Air_Migration** in the configuration file must be set to 1 or migration will not occur (see :doc:`parameter-configuration-migration` parameters). Primarily used to turn off migration in a particular node.",".. code-block:: json

    {
        ""Defaults"": {
            ""NodeAttributes"": {
                ""Airport"": 0
            }
        }
    }
"
"Altitude","Airborne, Dengue, Environmental, Generic, HIV, Malaria, Polio, STI, TBHIV, Typhoid, Vector, py_sim","float","-3.40282e+038","3.40282e+038","0","The altitude, in meters, for the node. Required, but only used when **Climate_Model** is set to CLIMATE_KOPPEN. ",".. code-block:: json

    {
        ""Defaults"": {
            ""NodeAttributes"": {
                ""Altitude"": 250
            }
        }
    }
"
"Assortivity","HIV, STI","JSON object","NA","NA","NA","The object that defines how people will preferentially form pairs based on their membership in different groups.",".. code-block:: json

    {
        ""Society"": {
            ""TRANSITORY"": {
                ""Pair_Formation_Parameters"": {
                    ""Assortivity"": {
                        ""Group"": ""INDIVIDUAL_PROPERTY"",
                        ""Property_Name"": ""Risk"",
                        ""Axes"": [
                            ""LOW"",
                            ""HIGH""
                        ],
                        ""Weighting_Matrix_RowMale_ColumnFemale"": [
                            [
                                0.8275185967686474,
                                0.17248140323135264
                            ],
                            [
                                0.17248140323135264,
                                0.8275185967686474
                            ]
                        ]
                    }
                }
            }
        }
    }
"
"Author","Airborne, Dengue, Environmental, Generic, HIV, Malaria, Polio, STI, TBHIV, Typhoid, Vector","string","NA","NA","NA","The person who created the demographics file. Files generated by |COMPS_s| will include this value, but it is not used by |EMOD_s| simulations.",".. code-block:: json

    {
        ""Metadata"": {
            ""DateCreated"": ""Sun Sep 25 23:19:55 2011"",
            ""Tool"": ""convertdemog.py"",
            ""Author"": ""jdoe"",
            ""IdReference"": ""Gridded world grump2.5arcmin"",
            ""NodeCount"": 1
        }
    }
"
"Axes","HIV, STI","array of strings","NA","NA","NA","The axes defined in **Group** to use for the weighting matrix for pair formation. The order of the array defines the order of the weighting matrix.
",".. code-block:: json

    {
        ""Society"": {
            ""TRANSITORY"": {
                ""Pair_Formation_Parameters"": {
                    ""Assortivity"": {
                        ""Group"": ""INDIVIDUAL_PROPERTY"",
                        ""Property_Name"": ""Risk"",
                        ""Axes"": [
                            ""LOW"",
                            ""HIGH""
                        ],
                        ""Weighting_Matrix_RowMale_ColumnFemale"": [
                            [
                                0.8275185967686474,
                                0.17248140323135264
                            ],
                            [
                                0.17248140323135264,
                                0.8275185967686474
                            ]
                        ]
                    }
                }
            }
        }
    }
"
