"Airport","boolean","0","1","0","Indicates whether or not the node has an airport for air migration from (not to) the node. If set to 1, **Enable_Air_Migration** in the configuration file must be set to 1 or migration will not occur (see :doc:`parameter-configuration-migration` parameters). Primarily used to turn off migration in a particular node.",".. code-block:: json

    {
        ""Defaults"": {
            ""NodeAttributes"": {
                ""Airport"": 0
            }
        }
    }
"
"Altitude","float","-3.40282e+038","3.40282e+038","0","The altitude, in meters, for the node. Required, but only used when **Climate_Model** is set to CLIMATE_KOPPEN. ",".. code-block:: json

    {
        ""Defaults"": {
            ""NodeAttributes"": {
                ""Altitude"": 250
            }
        }
    }
"
"BirthRate","double","0","1","0.00008715","The birth rate, in births per person per day. In the configuration file, **Enable_Birth** must be set to 1 and **Birth_Rate_Dependence** will affect how this rate is used (see :doc:`parameter-configuration-population` parameters).",".. code-block:: json

    {
        ""Nodes"": [
            {
                ""NodeID"": 21,
                ""NodeAttributes"": {
                    ""BirthRate"": 0.0001
                }
            }
        ]
    }
"
"InfectivityReservoirEndTime","float","InfectivityReservoirStartTime","3.40282e+038","3.40282e+038","The ending of the exogeneous reservoir of infectivity. This parameter is conditional upon the configuration parameter, **Enable_Infectivity_Reservoir**, being enabled (set to 1).",".. code-block:: json

    {
        ""NodeAttributes"": {
            ""InfectivityReservoirSize"": 0.1,
            ""InfectivityReservoirStartTime"": 90,
            ""InfectivityReservoirEndTime"": 365
        }
    }
"
"InfectivityReservoirSize","float","0","3.40282e+038","0","The quantity-per-timestep added to the total infectivity present in a node; it is equivalent to the expected number of additional infections in a node, per timestep. For example, if timestep is equal to a day, then setting **InfectivityReservoirSize** to a value of 0.1 would introduce an infection every 10 days from the exogenous reservoir. This parameter is conditional upon the configuration parameter, **Enable_Infectivity_Reservoir**, being enabled (set to 1).",".. code-block:: json

    {
        ""NodeAttributes"": {
            ""InfectivityReservoirSize"": 0.1,
            ""InfectivityReservoirStartTime"": 90,
            ""InfectivityReservoirEndTime"": 365
        }
    }
"
"InfectivityReservoirStartTime","float","0","3.40282e+038","0","The beginning of the exogeneous reservoir of infectivity. This parameter is conditional upon the configuration parameter, **Enable_Infectivity_Reservoir**, being enabled (set to 1).",".. code-block:: json

    {
        ""NodeAttributes"": {
            ""InfectivityReservoirSize"": 0.1,
            ""InfectivityReservoirStartTime"": 90,
            ""InfectivityReservoirEndTime"": 365
        }
    }
"
"InitialPopulation","integer","0","2147480000","1000","The number of people that will be populated into the node at the beginning of the simulation. You can scale this number using **Base_Population_Scale_Factor** in the configuration file (see :doc:`parameter-configuration-population` parameters).",".. code-block:: json

    {
        ""Nodes"": [
            {
                ""NodeID"": 25,
                ""NodeAttributes"": {
                    ""InitialPopulation"": 1000
                }
            }
        ]
    }
"
"InitialVectorsPerSpecies","json object","0","2.15e+09","10,000","The number of vectors per species that will be populated into the node at the beginning of the simulation. Population responds to habitat availability that can be scaled by **LarvalHabitatMultiplier**. **Vector_Sampling_Type** in the configuration file must be set to TRACK_ALL_VECTORS or SAMPLE_IND_VECTORS.",".. code-block:: json

    {
        ""Nodes"": [
            {
                ""NodeID"": 340461476,
                ""NodeAttributes"": {
                    ""InitialVectorsPerSpecies"": {
                        ""aegypti"": 100,
                        ""funestus"": 0,
                        ""gambiae"": 0
                    }
                }
            }
        ]
    }
"
"LarvalHabitatMultiplier","float or nested json object","NA","NA","NA","The value by which to scale the larval habitat availability specified in the configuration file with **Larval_Habitat_Types** across all habitat types, for specific habitat types, or for specific mosquito species within each habitat type.","The following example scales the larval habitat equally across all habitat types and mosquito species.

.. code-block:: json

    {
        ""LarvalHabitatMultiplier"": [
            {
                ""Habitat"": ""ALL_HABITATS"",
                ""Species"": ""ALL_SPECIES"",
                ""Factor"": 0.2
            }
        ]
    }

The following example scales the larval habitat only in the temporary rainfall habitat for all mosquito species.

.. code-block:: json

    {
        ""LarvalHabitatMultiplier"": [
            {
                ""Habitat"": ""TEMPORARY_RAINFALL"",
                ""Species"": ""ALL_SPECIES"",
                ""Factor"": 0.2
            }
        ]
    }

The following example scales the larval habitat independently for *A. gambiae* in the temporary rainfall habitat and for *A. arabiensis* in the brackish swamp habitat.

.. code-block:: json

    {
        ""LarvalHabitatMultiplier"": [
            {
                ""Habitat"": ""TEMPORARY_RAINFALL"",
                ""Species"": ""gambiae"",
                ""Factor"": 0.1
            },
            {
                ""Habitat"": ""BRACKISH_SWAMP"",
                ""Species"": ""arabiensis"",
                ""Factor"": 0.5
            }
        ]
    }
"
"Latitude","float","3.40282e+038","-3.40282e+038","-1","Latitude of the node in decimal degrees. This can be used for several things, including determining infectiousness by latitude and defining the size of grid cells.",".. code-block:: json

    {
        ""Nodes"": [
            {
                ""NodeID"": 25,
                ""NodeAttributes"": {
                    ""Latitude"": 12.4,
                    ""Longitude"": 9.35
                }
            }
        ]
    }
"
