Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,MigrationFromCountLocal,MigrationFromCountRegional,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived,NumVectorsNone,NumVectorsOnlyOocysts,NumVectorsOnlySporozoites,NumVectorsBothOocystsSporozoites,NumBitesAdults,NumBitesInfected,NumBitesInfectious,NumDiedAdults,NumDiedInfected,NumDiedInfectious,NumParasiteCohortsOocysts,NumParasiteCohortsSporozoites,NumOocysts,NumSporozoites,NumInfectiousToAdult,NumInfectiousToInfected,AAAAAAAAAAAAAAAAAAAAAAAA,TAAAAAAAAAAAAAAAAAAAAAAA,AAAAAAAAAAAAAAAAAAAAAAAT,TAAAAAAAAAAAAAAAAAAAAAAT,OtherBarcodes
270,3,52,785,0,10,775,1046,1037,25045,37360,18680,260,0,0,0,99,0,69,30,0,0,0,2490.64,0.0669741,0,0,0,775,10,0,0,259,1,0,99,0,0,18,0,46,0,0,0,0,0,0,0,0
270,1,50,747,58,479,210,1067,1054,24802,28920,14460,246,15,0,0,83,0,76,20,0,0,0,2733.64,0.0787309,15,15,0,210,479,0,58,115,116,15,31,61,4,1895,829,3353,3683462,0,0,44,39,40,47,0
270,4,53,776,57,383,336,1061,1021,24880,29960,14980,244,20,0,0,110,0,67,22,0,1,0,2655.64,0.0821259,20,20,0,336,383,7,50,132,92,20,39,43,7,730,123,2263,2504765,0,0,4,3,2,56,0
270,2,50,782,0,0,782,1050,1018,24844,34600,17300,249,0,0,0,89,0,65,23,0,0,0,2691.64,0.0677958,0,0,0,782,0,0,0,249,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0
271,3,52,787,0,12,775,1031,1102,24918,36240,18120,262,0,0,0,94,0,75,18,0,0,0,2617.69,0.066666,0,0,0,775,12,0,0,258,4,0,92,1,0,21,0,53,0,0,0,0,0,0,0,0
271,1,50,767,53,479,235,1059,1047,24872,28440,14220,228,13,0,0,108,0,70,18,0,0,0,2663.69,0.0945243,13,13,0,235,479,0,53,101,114,13,25,52,11,1864,788,3368,3632071,0,0,39,35,33,43,0
271,4,53,786,53,372,361,1064,993,24997,29800,14900,257,13,0,0,108,0,72,25,0,0,0,2538.69,0.0886396,13,13,0,361,372,6,47,139,105,13,41,45,11,691,124,2193,2590858,0,0,4,3,2,52,0
271,2,50,777,0,0,777,1055,1003,24796,36400,18200,238,0,0,0,101,0,73,33,0,0,0,2739.69,0.0777931,0,0,0,777,0,0,0,238,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0
272,3,52,787,0,18,769,1028,1099,24819,38280,19140,266,0,0,0,99,0,67,32,0,0,0,2716.73,0.072232,0,0,0,769,18,0,0,263,3,0,99,0,0,33,0,81,0,0,0,0,0,0,0,0
272,1,50,756,55,467,234,1047,1039,24834,35040,17520,290,20,0,0,95,0,76,30,0,0,0,2701.73,0.09366,20,20,0,234,467,1,54,132,138,20,38,62,6,1932,811,3507,3542809,0,0,41,36,35,46,0
272,4,53,778,53,362,363,1064,1007,24839,33880,16940,271,12,0,0,98,0,81,25,0,1,0,2696.73,0.0851909,12,12,0,363,362,5,48,157,102,12,46,50,10,679,97,2147,2554876,0,0,1,1,1,53,0
272,2,50,768,0,0,768,1063,1024,24823,42400,21200,290,0,0,0,91,0,73,27,0,0,0,2712.73,0.0752662,0,0,0,768,0,0,0,290,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
273,3,52,787,0,21,766,1053,1073,24869,37880,18940,265,0,0,0,108,0,73,35,0,0,0,2666.78,0.0709701,0,0,0,766,21,0,0,262,3,0,108,0,0,39,0,95,0,0,0,0,0,0,0,0
273,1,50,768,59,474,235,1069,1053,24934,29200,14600,240,18,0,0,93,0,66,16,0,0,0,2601.78,0.0771043,18,18,0,235,474,1,58,106,116,18,28,49,5,1912,864,3489,3833429,0,0,46,43,39,48,0
273,4,53,778,56,363,359,1054,984,24803,31560,15780,251,17,0,0,90,0,70,19,0,1,0,2732.78,0.0795966,17,17,0,359,363,3,53,149,85,17,45,39,5,668,98,2119,2629423,0,0,1,1,1,56,0
273,2,50,773,0,0,773,1063,1040,24838,35600,17800,245,0,0,0,105,0,76,24,0,0,0,2697.78,0.0639796,0,0,0,773,0,0,0,245,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
274,3,52,799,0,29,770,1069,1078,24915,37400,18700,267,0,0,0,100,0,58,31,0,0,0,2620.82,0.0704007,0,0,0,770,29,0,0,263,4,0,88,1,0,53,0,115,0,0,0,0,0,0,0,0
274,1,50,790,61,475,254,1070,1036,24919,28360,14180,231,14,0,0,112,0,69,21,0,0,0,2616.82,0.089102,14,14,0,254,475,1,60,109,108,14,29,54,7,1944,782,3536,3469317,0,0,44,44,41,45,0
274,4,53,771,59,349,363,1033,1008,24794,32720,16360,254,19,0,0,85,0,71,20,0,0,0,2741.82,0.0865899,19,19,0,363,349,3,56,153,82,19,45,41,5,648,95,2048,2428792,0,0,0,0,0,59,0
274,2,50,766,0,0,766,1054,1008,24911,33600,16800,261,0,0,0,97,0,72,32,0,0,0,2624.82,0.0757803,0,0,0,766,0,0,0,261,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0
