Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG
0,1,X-a0-b0:X-a0-b0,293,0,0,293,0,0,8903
0,1,X-a0-b0:X-a1-b0,181,0,0,181,0,0,5797
0,1,X-a0-b0:X-a0-b1,657,0,0,657,0,0,21948
0,1,X-a0-b0:X-a1-b1,454,0,0,454,0,0,14096
0,1,X-a1-b0:X-a0-b0,194,0,0,194,0,0,6360
0,1,X-a1-b0:X-a1-b0,124,0,0,124,0,0,3934
0,1,X-a1-b0:X-a0-b1,437,0,0,437,0,0,14967
0,1,X-a1-b0:X-a1-b1,285,0,0,285,0,0,9140
0,1,X-a0-b1:X-a0-b0,638,0,0,638,0,0,22200
0,1,X-a0-b1:X-a1-b0,439,0,0,439,0,0,15429
0,1,X-a0-b1:X-a0-b1,1515,0,0,1515,0,0,50901
0,1,X-a0-b1:X-a1-b1,1039,0,0,1039,0,0,33525
0,1,X-a1-b1:X-a0-b0,435,0,0,435,0,0,15209
0,1,X-a1-b1:X-a1-b0,293,0,0,293,0,0,9808
0,1,X-a1-b1:X-a0-b1,1032,0,0,1032,0,0,34564
0,1,X-a1-b1:X-a1-b1,695,0,0,695,0,0,23311
1,1,X-a0-b0:X-a0-b0,261,0,0,261,0,5877,9167
1,1,X-a0-b0:X-a1-b0,157,0,0,157,0,3830,6470
1,1,X-a0-b0:X-a0-b1,564,0,0,564,0,14393,21121
1,1,X-a0-b0:X-a1-b1,397,0,0,397,0,9134,13920
1,1,X-a1-b0:X-a0-b0,167,0,0,167,0,4143,5533
1,1,X-a1-b0:X-a1-b0,104,0,0,104,0,2536,3779
1,1,X-a1-b0:X-a0-b1,377,0,0,377,0,9836,13234
1,1,X-a1-b0:X-a1-b1,243,0,0,243,0,6002,9229
1,1,X-a0-b1:X-a0-b0,564,0,0,564,0,14428,19047
1,1,X-a0-b1:X-a1-b0,381,0,0,381,0,10047,13371
1,1,X-a0-b1:X-a0-b1,1322,0,0,1322,0,33210,47190
1,1,X-a0-b1:X-a1-b1,898,0,0,898,0,21974,31616
1,1,X-a1-b1:X-a0-b0,381,0,0,381,0,9938,12977
1,1,X-a1-b1:X-a1-b0,257,0,0,257,0,6393,9156
1,1,X-a1-b1:X-a0-b1,886,0,0,886,0,22766,30973
1,1,X-a1-b1:X-a1-b1,604,0,0,604,0,15236,20404
