Time,NodeID,Genome,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG
728,1,X-a0-b0:Y-a1-b0,471,234,2889,76019
728,1,X-a0-b0:Y-a0-b1,472,238,2876,77305
728,1,X-a0-b0:Y-a1-b1,6139,3607,44504,1200234
728,1,X-a1-b0:Y-a1-b1,20783,12670,166170,4672298
728,1,X-a0-b1:Y-a1-b1,20879,12732,166591,4748180
728,1,Other,73196,46195,639267,18714288
729,1,X-a0-b0:Y-a1-b0,460,224,2818,76957
729,1,X-a0-b0:Y-a0-b1,461,238,2798,79896
729,1,X-a0-b0:Y-a1-b1,6076,3578,44258,1205125
729,1,X-a1-b0:Y-a1-b1,20824,12630,165392,4658639
729,1,X-a0-b1:Y-a1-b1,20801,12677,166219,4709209
729,1,Other,73268,46247,640706,18831238
