STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,VECTOR_WOLBACHIA_FREE,VECTOR_WOLBACHIA_A,VECTOR_WOLBACHIA_B,VECTOR_WOLBACHIA_AB,MigrationFromCountLocal,MigrationFromCountRegional,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
16220,36576,17593,147016,1541720,770860,8537,202,2426,75,1469,0,2788,844,245,0,137427,0,0,0,0,8991.45,4123.95,10026.9 0.00706801,0.0259187,0.00710855,277,136,141,0
14635,34183,17098,152982,958640,479320,4756,479,1366,128,1047,0,2501,517,121,15087,0,0,0,0,0,3873.64,3814.74,4504.05,0.0133491,0.0316351,0.0135903,607,295,312
13247,32339,12849,150692,1264080,632040,5812,296,1559,92,1339,0,2287,643,159,66443,0,0,0,0,0,3662.45,2833.68,4034.73,0.00908111,0.0593457,0.00962815,388,219,169
12066,30731,14408,140976,1452320,726160,6700,270,1803,76,1564,0,2100,637,171,0,130007,0,0,0,0,8211.71,3889.12,9207.12,0.00671468,0.0242195,0.00670622,346,178,168
12590,30509,10898,145816,794440,397220,4239,455,1166,129,2672,0,1969,466,134,15105,0,0,0,0,0,2797.77,3512.56,3192.74,0.0129099,0.0288083,0.0135152,584,274,310
11243,28771,10887,138512,954720,477360,5676,312,1556,128,1134,0,1928,610,153,59130,0,0,0,0,6894.61,3493.81,7625.89,0.00798359,0.049113,0.00857158,440,227,213,0
8933,26075,14491,138662,1112920,556460,5247,329,1429,92,0,0,1884,604,131,0,136952,0,0,0,0,14562.2,4190.82,16253.6,0.0172538,0.0315782,0.0171569,421,240,181
9541,25515,9959,159705,705280,352640,2854,347,746,106,1965,0,1575,286,84,12354,0,0,0,0,0,1660.21,3321.22,2031.23,0.0308546,0.035052,0.031173,453,221,232
8604,24184,14841,143138,946320,473160,5224,418,1312,111,1070,0,1549,552,130,4545,0,0,0,0,0,5737.64,3498.29,6278.16,0.00562629,0.0425362,0.00611594,529,250,279
7951,22936,16030,140226,860880,430440,4290,310,1058,86,1048,0,1454,435,117,0,137234,0,0,0,0,3113.21,3527.66,3467.57,0.014121,0.0311236,0.0146823,396,208,188
8216,22242,15596,132199,463280,231640,2584,344,685,109,1552,0,1391,299,68,15421,0,0,0,0,0,1562.56,3622.39,1707.29,0.00863056,0.0325911,0.00884764,453,214,239
6553,20374,17428,122419,854320,427160,4512,421,1178,111,248,0,1482,490,140,63235,0,0,0,0,0,3282.25,3217.14,3811.39,0.00827453,0.0702558,0.00766011,532,263,269
8015,21173,12487,118951,683640,341820,3003,376,741,94,2646,0,1204,346,76,0,136025,0,0,0,0,2047.61,3347.56,2169.57,0.00896889,0.0306045,0.00994518,470,233,237
7913,20868,8126,115273,420600,210300,3489,299,927,70,1585,0,1298,357,82,14010,0,0,0,0,0,1894.64,2482.64,2145.04,0.00736232,0.0335831,0.0070938,369,172,197
7560,20286,8209,107152,734040,367020,4018,384,1079,109,1393,0,1290,449,102,59413,0,0,0,0,0,2474.93,3355.48,2673.81,0.0110462,0.046009,0.0109935,493,241,252
7525,19644,6876,103579,476880,238440,2978,375,665,90,1292,0,1279,323,61,0,125487,0,0,0,0,1868.86,3167.59,2158.96,0.00808167,0.0314773,0.00832445,465,218,247
