Name,PKPD_Model,Drug_Cmax,Drug_Decay_T1,Drug_Decay_T2,Drug_Vd,Drug_PKPD_C50,Drug_Fulltreatment_Doses,Drug_Dose_Interval,Drug_Gametocyte02_Killrate,Drug_Gametocyte34_Killrate,Drug_GametocyteM_Killrate,Drug_Hepatocyte_Killrate,Max_Drug_IRBC_Kill,Drug_Adherence_Rate,Bodyweight_Exponent,Upper_Age_In_Years,Fraction_Of_Adult_Dose
Artemether,CONCENTRATION_VERSUS_TIME,114,0.12,0.12,1,0.6,6,0.5,2.5,1.5,0.7,0,8.9,1,1,"[3,6,10]","[0.25,0.5,0.75]"
Lumefantrine,CONCENTRATION_VERSUS_TIME,1017,1.3,2,1.2,280,6,0.5,2.4,0,0,0,4.8,1,0.35,"[3,6,10]","[0.25,0.5,0.75]"
DHA,CONCENTRATION_VERSUS_TIME,200,0.12,0.12,1,0.6,3,1,2.5,1.5,0.7,0,9.2,1,1,"[.83,2.83,5.25,7.33,9.42]","[0.375,0.5,0.625,0.75,0.875]"
Piperaquine,CONCENTRATION_VERSUS_TIME,30,0.17,41,49,5,3,1,2.3,0,0,0,4.6,1,0,"[.83,2.83,5.25,7.33,9.42]","[0.375,0.5,0.625,0.75,0.875]"
Primaquine,CONCENTRATION_VERSUS_TIME,75,0.36,0.36,1,15,1,1,2,5,50,0.1,0,1,1,"[5,9,14]","[.17,.33,.67]"
Chloroquine,CONCENTRATION_VERSUS_TIME,150,8.9,244,3.9,150,3,1,0,0,0,0,4.8,1,1,"[5,9,14]","[.17,.33,.67]"
Artesunate,CONCENTRATION_VERSUS_TIME,200,0.12,0.12,1,0.03,3,1,2.5,1.5,0.7,0,4.2,1,1,"[2,5]","[0.167,0.33]"
Sulfadoxine,CONCENTRATION_VERSUS_TIME,105.8,8.55,8.55,1,0.2,1,1,0,0,0,0,0.506,1,1,"[2,5]","[0.167,0.33]"
Pyrimethamine,CONCENTRATION_VERSUS_TIME,354.1,5.411,5.411,1,2,1,1,0,0,0,0,0.6,1,1,"[2,5]","[0.167,0.33]"
moAmodiaquine,CONCENTRATION_VERSUS_TIME,270,0.7,15.9,1,55,3,1,0,0,0,0,0.2,1,1,"[1,5]","[0.22,0.44]"
Amodiaquine,CONCENTRATION_VERSUS_TIME,95,0.775,37.5,15.6,303,3,1,0,0,0,0,3.76,1,1,"[1,5]","[0.22,0.44]"
Amodiaquine1,CONCENTRATION_VERSUS_TIME,1185,0.12,6.25,2.51,35.5,3,1,0,0,0,0,0.67089,1,1,"[1,5]","[0.376,0.44]"
Amodiaquine_for_AS_combination,CONCENTRATION_VERSUS_TIME,537,0.12,6.25,2.51,80,3,1,0,0,0,0,0.7089,1,1,"[1,5]","[0.22,0.44]"
Abstract,CONCENTRATION_VERSUS_TIME,100,10,10,1,10,3,1,0,0,0,0,4,1,1,"[3,6,10]","[0.25,0.5,0.75]"
Vehicle,CONCENTRATION_VERSUS_TIME,10,1,1,10,5,1,1,0,0,0,0,0,0,0,[],[]
SulfadoxinePyrimethamine,CONCENTRATION_VERSUS_TIME,105.8,8.55,8.55,1,10.826,1,1,0,0,0,0,1.579,1,1,"[2,5]","[0.167, 0.33]"
moSulfadoxinePyrimethamine,CONCENTRATION_VERSUS_TIME,105.8,11.5,11.5,1,0.9,1,1,0,0,0,0,0.28,1,1,"[2,5]","[0.167, 0.33]"
